DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/10/2011,483.71,485.06,479.58,480.55,33800
1/11/2011,477.97,480.79,475.48,477.44,35420
1/12/2011,480.82,481.65,477.49,478.45,41210
1/13/2011,479.95,485.02,479.6,484.12,29070
1/14/2011,487.06,490.11,486.54,489.22,41500
1/17/2011,492.89,498.49,492.37,495.16,43810
1/18/2011,497.05,501.28,496,497.43,40800
1/19/2011,504.93,507.89,503.1,505.91,42890
1/20/2011,510.17,514.05,510.17,511.98,41210
1/21/2011,518.32,521.22,518.24,519.5,46990
1/24/2011,525.7,525.7,509.88,509.88,38330
1/25/2011,504.06,506.12,501.87,501.97,39690
1/26/2011,498.24,502.02,498.24,501.25,22040
1/27/2011,501.25,503.43,498.11,502.68,30030
1/28/2011,502.77,511.91,502.75,510.6,37630
2/8/2011,515.7,521.49,515.61,520.69,24860
2/9/2011,528.69,529.2,522.49,522.59,31770
2/10/2011,523.25,526.57,519.51,520.23,31580
2/11/2011,522.79,522.79,516.4,519.98,35610
2/14/2011,520.73,522.37,514.05,514.05,35500
2/15/2011,509.28,517.98,509.28,517.87,34380
2/16/2011,519.55,519.7,513.11,513.11,30000
2/17/2011,510.69,511.04,505.5,509.83,35960
2/18/2011,509.1,510.75,502.55,503.92,38440
2/21/2011,497.71,497.71,481.86,483.68,50540
2/22/2011,467.4,471.68,467.4,470.02,52160
2/23/2011,468.97,474.02,466.88,470.67,36920
2/24/2011,462.43,462.87,455.74,461.29,43120
2/25/2011,460.57,467.97,457.96,466.96,28620
2/28/2011,467.12,474.22,461.37,461.37,34260
3/1/2011,458.21,466.12,458.14,466.12,24210
3/2/2011,464.27,466.26,453.33,457.83,46600
3/3/2011,449.78,457.13,449.78,452.34,30740
3/4/2011,454.73,459.23,452.61,459.23,32860
3/7/2011,465.21,468.22,464.44,468.22,23630
3/8/2011,471.78,477.52,471.78,475.38,29850
3/9/2011,474.8,475.19,466.72,470.51,31210
3/10/2011,467.54,482.54,467.54,482.49,46170
3/11/2011,490.13,496.22,490.13,495.06,43500
3/14/2011,491.95,493.2,479.9,479.9,45600
3/15/2011,470.47,476.3,468.2,468.74,37670
3/16/2011,467.17,470.64,461.57,463.58,36310
3/17/2011,461.48,468.28,457.01,460.53,36010
3/18/2011,459.4,461.88,454.73,461.08,53510
3/21/2011,467.17,469.52,464.78,468.25,41790
3/22/2011,470.22,470.98,464.8,464.8,37130
3/23/2011,464,467.96,463.96,467.64,33720
3/24/2011,465.12,468.59,461.32,461.32,27580
3/25/2011,461.21,462.67,457.66,457.74,28180
3/28/2011,458.35,463.37,456.74,459.52,24990
3/29/2011,460.68,462.31,456.02,457.88,36120
3/30/2011,454.33,460.1,454.31,460.04,28060
3/31/2011,462.27,465.31,460.74,461.13,27890
4/1/2011,460.8,463.11,458.55,459.17,23350
4/4/2011,459.95,460.65,457.25,457.25,24640
4/5/2011,458.19,459.1,454.86,457.2,23340
4/6/2011,458.51,464.94,458.05,464.94,27350
4/7/2011,464.72,465.85,462,463.49,27540
4/8/2011,462.51,464.53,462.19,464.29,20310
4/13/2011,464.21,464.74,461.01,461.01,25950
4/14/2011,459.87,462.34,459.87,460.63,24310
4/15/2011,462.17,463.5,460.9,460.96,24470
4/18/2011,458.39,459.16,454.79,455.46,29840
4/19/2011,453.59,457.63,453.54,453.74,22450
4/20/2011,454.57,458.5,454.29,458.5,21040
4/21/2011,458.38,462.74,458.26,460.3,21510
4/22/2011,460.89,462.44,454.01,456.45,23570
4/25/2011,458.99,467.01,458.99,465.62,26290
4/26/2011,463.77,468.12,461.54,461.86,28300
4/27/2011,465.98,469.32,463.68,469.32,28530
4/28/2011,472.17,474.65,472.17,472.93,23600
4/29/2011,477.43,481.13,477.07,480.08,25170
5/4/2011,483.3,488.02,482.62,486.58,21200
5/5/2011,485.96,486.99,476.48,479.29,21990
5/6/2011,472.52,473.63,470.13,472.71,23690
5/9/2011,469.01,477.47,467.77,477.47,18940
5/10/2011,479.01,481.69,478.58,481.29,17970
5/11/2011,479.07,483.74,479.06,483.15,21650
5/12/2011,483.1,484.74,480.13,482.14,22050
5/13/2011,482.01,482.51,478.58,479.67,18220
5/16/2011,479.01,481.51,471.49,471.49,25360
5/17/2011,471.49,474.57,464.35,464.35,24130
5/18/2011,457.92,459.19,451.49,454.91,28520
5/19/2011,450.92,456.47,444.85,444.85,25460
5/20/2011,444.85,444.85,432.24,432.87,26740
5/23/2011,429.74,430.54,416.14,417.82,31750
5/24/2011,407.13,407.61,402.07,402.59,39020
5/25/2011,388.64,389.9,385.72,386.36,35540
5/26/2011,386.36,398.04,371.03,398.04,47220
5/27/2011,406.75,410.82,405.78,410.82,29910
5/30/2011,417.07,417.35,412,412.1,27110
5/31/2011,414.98,421.37,414.88,421.37,22750
6/1/2011,422.98,435.69,420.88,435.69,33940
6/2/2011,446.66,450.59,445.98,450.59,34350
6/3/2011,461.93,461.93,436.5,443.41,47640
6/6/2011,434.97,436.91,430.15,433.81,22890
6/7/2011,443.11,448.4,441.4,443.68,31800
6/8/2011,445.43,446.99,436.15,439.57,37450
6/9/2011,439.82,444.13,437.87,443.95,33510
6/10/2011,446.54,451.81,445,445,41110
6/13/2011,443.49,446.12,442.02,442.69,57630
6/14/2011,441.09,452.55,440.57,441.54,61900
6/15/2011,442.85,443.41,436.24,441.45,49900
6/16/2011,439.58,445.66,438.51,445.17,34490
6/17/2011,445.88,446.98,438.64,438.93,47400
6/20/2011,438.13,440.17,431.59,431.63,43780
6/21/2011,432.81,442.74,432.81,442.74,29720
6/22/2011,444.28,445.49,439.29,439.63,24940
6/23/2011,436.85,440.51,434.4,434.75,19980
6/24/2011,436.17,436.2,432.79,433.4,21920
6/27/2011,436.95,438.53,433.62,434.25,25510
6/28/2011,434.05,435.86,430.91,432.31,21080
6/29/2011,433.07,434.92,430.91,434.6,25760
6/30/2011,435.21,435.63,432.17,432.54,24180
7/1/2011,429.91,430.04,424.26,425.29,23920
7/4/2011,425.04,426.17,423.39,425.42,23940
7/5/2011,427.54,434.07,427.54,431.03,25360
7/6/2011,432.15,432.8,427.84,428.3,21980
7/7/2011,426.64,431.03,426.53,429.99,23420
7/8/2011,428.81,431.35,428.75,430.32,20110
7/11/2011,429.41,429.63,425.08,425.09,21470
7/12/2011,422.13,423.93,416.94,417.25,32190
7/13/2011,422.17,422.69,417.64,418.18,40370
7/14/2011,418.07,419.58,414.27,418.93,23980
7/15/2011,419.82,419.82,412.52,414.74,19340
7/18/2011,412.9,415.77,411.22,415.77,19350
7/19/2011,414.4,415.43,409.16,410.12,16670
7/20/2011,410.2,416.77,410.2,416.77,21360
7/21/2011,416.24,417.06,412.21,413.06,18270
7/22/2011,412.97,412.97,408.96,409.2,18900
7/25/2011,409.11,410.38,407.58,409.36,14930
7/26/2011,408.93,410.79,407.31,409.39,19650
7/27/2011,409.54,409.81,406.45,409.4,30170
7/28/2011,409.18,411.36,408.18,408.39,23590
7/29/2011,407.58,409.04,402.2,405.7,18910
8/1/2011,404.84,404.91,400.49,401.95,22320
8/2/2011,398.92,400.11,396.23,396.55,30500
8/3/2011,393.6,394.15,388.79,391.47,26510
8/4/2011,392.93,398.74,392.92,396.05,102650
8/5/2011,394.89,401.01,394.83,400.88,26820
8/8/2011,399.24,400.69,395.14,396.41,24720
8/9/2011,388.78,388.82,385.76,387.7,41370
8/10/2011,388.61,390.88,385.33,385.96,27140
8/11/2011,380.97,384.44,379.84,384.44,20270
8/12/2011,385.16,387.13,383.58,383.92,20100
8/15/2011,384.47,384.97,383.37,384.32,15500
8/16/2011,383.96,388.58,383.66,386.48,17930
8/17/2011,387.65,393.46,387.65,393.46,39330
8/18/2011,398.21,402.89,397.7,402.89,31090
8/19/2011,399.98,400.76,396.2,400.76,26910
8/22/2011,401.87,406.75,401.87,406.03,31260
8/23/2011,405.19,405.19,401.23,401.28,29970
8/24/2011,403.21,406.29,396.68,396.68,27500
8/25/2011,398.46,402.19,397.93,401.65,30130
8/26/2011,403.21,405.96,402.81,404.41,29420
8/29/2011,405.89,413.37,405.26,413.37,40740
8/30/2011,421.81,423.01,416.84,419.26,45260
8/31/2011,421.45,426.29,417.79,424.71,47740
9/1/2011,429.49,435.29,429.31,435.29,50020
9/5/2011,438.35,439.82,432.07,435.73,52710
9/6/2011,434.02,437.58,430.82,436.16,41500
9/7/2011,444.4,445.72,440.44,443.99,44270
9/8/2011,450.4,457.41,449.97,453.26,60530
9/9/2011,452.94,460.17,452.33,459.92,47280
9/12/2011,461.14,465.41,460.49,462.93,52170
9/13/2011,469.5,471.07,466.69,469.4,68370
9/14/2011,469.33,475.45,466.99,466.99,81370
9/15/2011,462.72,470.9,461.31,470.67,70570
9/16/2011,470.87,473.56,457.11,457.11,59040
9/19/2011,450.21,461.68,449.5,461.68,46600
9/20/2011,459.32,459.32,454.17,454.37,46150
9/21/2011,451.99,454.48,446.65,447.57,43950
9/22/2011,443.3,449.3,441.67,449.26,46860
9/23/2011,439.61,442.14,438.58,440.3,42850
9/26/2011,436.63,444.4,431.78,434.43,35320
9/27/2011,434.02,440.95,431.86,437.47,40130
9/28/2011,441.53,442.53,433.97,433.97,37570
9/29/2011,431.8,433.38,425.02,428.08,78190
9/30/2011,426.13,433.09,424.64,427.6,34380
10/3/2011,426.43,428.28,422.12,422.12,29520
10/4/2011,417.46,420.46,415.35,418.18,28430
10/5/2011,420.74,422.71,415.85,417.21,37970
10/6/2011,417.94,423.08,417.94,421.32,39420
10/7/2011,423.46,423.74,417.96,417.96,32480
10/10/2011,416.77,421.52,415.73,419.66,22780
10/11/2011,421,421.29,417.35,417.73,28780
10/12/2011,414.41,415.37,409.3,410.91,35240
10/13/2011,411.17,413.71,407.61,412.59,29050
10/14/2011,413.12,415.62,413.09,414.49,21810
10/17/2011,415.52,415.52,410.33,410.84,26210
10/18/2011,407.44,408.11,404.32,404.32,24440
10/19/2011,404.32,407.02,399.08,401.15,24270
10/20/2011,402.86,404.85,401.62,403.73,18610
10/21/2011,405.44,411.79,405.44,411.03,32630
10/24/2011,415.9,418.34,414.46,414.46,21460
10/25/2011,416.06,417.07,409.38,409.38,22400
10/26/2011,410.42,413.66,410.35,412.1,25280
10/27/2011,414.63,415.59,412.79,414.75,21820
10/28/2011,418.83,422.45,415.52,422.07,41370
10/31/2011,426.89,428.86,420.81,420.81,37890
11/1/2011,418.77,419.16,412.6,413.82,44890
11/2/2011,410.02,412.06,407.07,407.79,31590
11/3/2011,408.18,410.48,405.72,408.44,27770
11/4/2011,411.22,412.79,410.37,410.57,34030
11/7/2011,409.78,413.94,408.66,410.52,35030
11/8/2011,408.36,409.76,405.17,408.6,29830
11/9/2011,409.19,410.21,404.18,405.19,24300
11/10/2011,402.47,402.47,399.29,401.03,25320
11/11/2011,399.67,403.4,396.3,396.3,37280
11/14/2011,397.52,397.7,389.04,391.74,37100
11/15/2011,391.63,393.46,386.47,387.87,37110
11/16/2011,389.25,392.98,388.51,390.89,33190
11/17/2011,390.91,392.23,385.86,385.86,33910
11/18/2011,383.14,383.45,377.46,379.62,34400
11/21/2011,380.4,382.71,377.92,379.14,21210
11/22/2011,377.46,382.62,375.93,381.76,32280
11/23/2011,385.15,388.57,384.84,388.57,33120
11/24/2011,387.26,389.29,381.78,381.78,29220
11/25/2011,381.78,383.74,379.38,383.35,27350
11/28/2011,386.04,388.98,383.05,383.31,32650
11/29/2011,385.78,386.55,382.9,382.9,34800
11/30/2011,381.88,382.62,378.78,380.69,26230
12/1/2011,380.47,382.87,377.03,380.1,21230
12/2/2011,380.92,383.88,380.36,383.88,25130
12/5/2011,385.82,391.71,385.82,391.19,34960
12/6/2011,393.92,396.29,390.2,390.2,37930
12/7/2011,389.15,389.69,386.71,387.21,30860
12/8/2011,387.02,388.35,381.63,381.63,41700
12/9/2011,381.28,382.13,375.67,377.16,31760
12/12/2011,376.97,378.82,373.89,375.3,37720
12/13/2011,374.11,377.17,371.75,371.75,34640
12/14/2011,371.75,374.42,366.64,367.55,58150
12/15/2011,364.14,365.09,360.16,364.48,40490
12/16/2011,364.37,369.65,363.8,366.03,65300
12/19/2011,365.71,367.95,364.73,367.4,37320
12/20/2011,365.5,369.09,363.22,365.67,46460
12/21/2011,368,369.48,366.96,367.72,47250
12/22/2011,366.68,366.78,359.12,360.37,46130
12/23/2011,352.48,356.97,352.21,356.21,29080
12/26/2011,356.15,356.15,349.7,352.68,42840
12/27/2011,348.42,348.83,346.48,347.8,57460
12/28/2011,347.59,351.34,347.17,350.66,57720
12/29/2011,349.06,350.51,347.39,350.51,48340
12/30/2011,351.83,352.46,348.3,351.55,56180
1/3/2012,351.37,354.02,349.31,350,20640
1/4/2012,349.22,349.92,348.24,348.84,25450
1/5/2012,346.42,347.13,340.94,340.94,20630
1/6/2012,340.19,340.19,336.49,336.73,29080
1/9/2012,334.93,339.32,332.28,339.32,171190
1/10/2012,336.84,345.25,336.84,344.68,36560
1/11/2012,347.98,349.45,346.71,347.43,29080
1/12/2012,347.78,349.44,347.22,348.11,24420
1/13/2012,349.31,354.33,349.31,354.33,22040
1/16/2012,356.77,360.29,355.97,357.87,29380
1/17/2012,357.52,363.5,357.1,358.86,23730
1/18/2012,360.81,363.3,360.47,362.66,18120
1/19/2012,363.15,373.43,363.04,373.43,23020
1/20/2012,378.07,378.07,373,373,29580
1/30/2012,375.1,384.94,373.1,384.94,21570
1/31/2012,390.43,393.92,387.97,387.97,39040
2/1/2012,388.7,390.67,383.05,390.67,39220
2/2/2012,393.89,401.61,393.82,401.61,43990
2/3/2012,408.95,411.38,401.74,401.74,68550
2/6/2012,402.36,402.38,394.91,399.73,32930
2/7/2012,400.43,402.5,396.02,401.08,37020
2/8/2012,403.74,409.74,401.51,409.53,44600
2/9/2012,412.98,414.6,409.18,411.39,51510
2/10/2012,410.11,410.11,403.49,405.02,49900
2/13/2012,402.37,402.37,395.54,395.54,34550
2/14/2012,391.08,400.26,391.08,400.26,36460
2/15/2012,398.61,400.66,394.38,397.41,45760
2/16/2012,395.2,398.44,393.66,396.51,34860
2/17/2012,397.98,403.3,397.98,403.3,40790
2/20/2012,409.83,414.5,408.98,413.98,48960
2/21/2012,421.81,422.19,410.32,410.91,59090
2/22/2012,410.63,418.41,410.63,418.41,54900
2/23/2012,419.49,423.89,416.45,423.89,67370
2/24/2012,427.1,429.42,423.43,423.43,78560
2/27/2012,426.03,430.75,425.66,428.41,65370
2/28/2012,429.26,431.11,421.65,422.22,121720
2/29/2012,420.02,423.64,418.01,423.64,125980
3/1/2012,426.48,427.95,422.65,427.95,89540
3/2/2012,432.32,439.6,431.79,439.6,81700
3/5/2012,448.66,459.8,448.66,457.21,103340
3/6/2012,465.63,468.15,444.99,445,154490
3/7/2012,442.74,444.25,433.69,444.02,101250
3/8/2012,436.44,443.5,431.66,431.66,90580
3/9/2012,429.2,435.27,424.43,432.11,78990
3/12/2012,429.83,432.61,423.43,428.02,74780
3/13/2012,429.73,433.66,427.76,429.39,62960
3/14/2012,435.73,437.23,429.22,433.86,64090
3/15/2012,433.47,442.55,430.39,441.85,105700
3/16/2012,449.66,450.32,438.52,438.52,113650
3/19/2012,435.82,440.92,433.6,438.07,58560
3/20/2012,435.2,441.73,435.2,440.29,62750
3/21/2012,443.43,450.25,443.13,445.77,98380
3/22/2012,442.77,448.92,442.44,445.67,81610
3/23/2012,448.93,455.16,448.85,454.1,88120
3/26/2012,458.21,459.26,451.46,459.26,93970
3/27/2012,457.55,457.55,445.92,445.92,120880
3/28/2012,443.2,447.14,437.05,446.32,82030
3/29/2012,449.01,449.01,439.47,439.63,74520
3/30/2012,442.57,443.74,437.62,441.03,67120
4/3/2012,440.95,446.14,440.23,445.77,59850
4/4/2012,446.02,447.02,439.27,439.77,50710
4/5/2012,439,445.8,436.67,444.93,61590
4/6/2012,447.08,450.23,445.87,447.44,91170
4/9/2012,450.55,452.06,448.17,450.73,66300
4/10/2012,451.01,455.86,448.91,450.85,87740
4/11/2012,457.56,458.74,452.69,458.74,99440
4/12/2012,462.22,468.14,460.79,465.26,106540
4/13/2012,467.48,468.38,462.52,462.52,122020
4/16/2012,465.06,470.73,461.76,468.26,89700
4/17/2012,471.54,474.92,467.58,472.84,118090
4/18/2012,475.1,478.87,471.36,472.16,143500
4/19/2012,470.81,473.31,465.29,467.08,144510
